,Unnamed: 0,ID,Plant name,Fuel type,Unit type,Country/Area,Latitude,Longitude,Onshore/Offshore,Wiki URL,Start_production,End_production,Plant_extension,Machinery_type,flaring_in_active_period,flare_years_count_active,flare_points_within_radius_active,nearest_flare_km,flare_points_within_radius_anyyear
1220,1220,6330,Fahd Southwest,oil,field,Oman,21.178,55.85417,Onshore,https://www.gem.wiki/Fahd_Southwest_Oil_Field_(Oman),2016-01,2026-02,,Onshore conventional vertical drilling,True,13.0,13.0,2.07361931290265,13.0
1221,1221,6333,Alturitas,oil and gas,field,Venezuela,9.793874575,-72.42996211,Onshore,https://www.gem.wiki/Alturitas_Oil_and_Gas_Field_(Venezuela),2016-01,2026-02,1000.0,Onshore conventional vertical drilling,True,5.0,5.0,0.8673318753833763,5.0
1229,1229,6400,Bahrain,oil and gas,field,Bahrain,26.0333,50.532,Onshore,https://www.gem.wiki/Bahrain_Oil_and_Gas_Field_(Bahrain),2016-01,2026-02,2000.0,Onshore conventional vertical drilling,True,13.0,31.0,0.7001962222831534,31.0
1238,1238,6497,Cibix 401EXP,oil and gas,field,Mexico,18.243994,-93.056412,Onshore,https://www.gem.wiki/Cibix_401EXP_Oil_and_Gas_Field_(Mexico),2020-07,2026-02,15.88,Offshore subsea tie-back systems,True,2.0,3.0,0.1167610965412024,3.0
1239,1239,6499,El treinta,oil and gas,field,Mexico,17.832336,-95.492919,Onshore,https://www.gem.wiki/El_treinta_Oil_and_Gas_Field_(Mexico),2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,7.0,7.0,0.6554423394052948,7.0
1245,1245,6539,10103FF/Cold Lake,oil,project,Canada,54.534021,-110.394092,Onshore,"https://www.gem.wiki/10103FF/Cold_Lake_Oil_Project_(Alberta,_Canada)",2016-01,2026-02,,Onshore thermal recovery – cyclic steam (CSS),True,10.0,10.0,0.923852118982128,10.0
1246,1246,6554,13093J/Athabasca,oil,project,Canada,55.444435,-113.737423,Onshore,"https://www.gem.wiki/13093J/Athabasca_Oil_Project_(Alberta,_Canada)",2016-01,2026-02,780.0,,True,6.0,15.0,0.9351446457553008,15.0
1247,1247,6560,9673Q/Athabasca,oil,project,Canada,56.132179,-113.029588,Onshore,"https://www.gem.wiki/9673Q/Athabasca_Oil_Project_(Alberta,_Canada)",2016-01,2026-02,10.0,Onshore thermal recovery – SAGD,True,3.0,3.0,0.5246843099877926,5.0
1248,1248,6565,13050E/Athabasca,oil,project,Canada,55.439537,-113.76676,Onshore,"https://www.gem.wiki/13050E/Athabasca_Oil_Project_(Alberta,_Canada)",2016-01,2026-02,130.5,Onshore thermal recovery – SAGD,True,6.0,15.0,1.7562107762982848,15.0
1249,1249,6566,11060K/Peace River Area 2,oil,project,Canada,56.140248,-116.671578,Onshore,"https://www.gem.wiki/11060K/Peace_River_Area_2_Oil_Project_(Alberta,_Canada)",2016-01,2026-02,,Onshore thermal recovery – SAGD,True,4.0,6.0,0.7740878543027155,12.0
1266,1266,6648,Mero (non-contracted area),oil,field,Brazil,-24.612,-42.22,Offshore,"https://www.gem.wiki/Mero_(non-contracted_area)_Oil_Field_(Rio_de_Janeiro,_Brazil)",2017-11,2026-02,1000.0,Offshore FPSO-based production,True,1.0,1.0,0.4606862131639617,6.0
1268,1268,6664,Aguila Vado (Eagleford) - Wildfire Energy Operating,oil and gas,asset,United States,30.65463999,-96.44259757,Onshore,"https://www.gem.wiki/Aguila_Vado_(Eagleford)_-_Wildfire_Energy_Operating_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,40.47,Onshore hydraulic fracturing (primary technology),True,6.0,6.0,2.3615198879037416,6.0
1271,1271,6672,Briscoe Ranch (Eagleford) - Buffco Production,oil and gas,asset,United States,28.74714374,-99.57928135,Onshore,"https://www.gem.wiki/Briscoe_Ranch_(Eagleford)_-_Buffco_Production_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,4.05,Onshore horizontal drilling (shale / tight oil),True,1.0,1.0,1.8919774218710093,1.0
1277,1277,6683,Briscoe Ranch (Eagleford) - Sm Energy,oil and gas,asset,United States,28.06745463,-99.81808898,Onshore,"https://www.gem.wiki/Briscoe_Ranch_(Eagleford)_-_Sm_Energy_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,13.0,14.0,1.932079718254087,14.0
1278,1278,6684,Briscoe Ranch (Eagleford) - Tbm Catarina,oil and gas,asset,United States,28.20334633,-99.60558299,Onshore,"https://www.gem.wiki/Briscoe_Ranch_(Eagleford)_-_Tbm_Catarina_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,6.0,6.0,1.9204146896524483,6.0
1287,1287,6716,Derby (Bone Spring) - Cimarex Energy Co.,oil and gas,asset,United States,31.94210314,-104.2109758,Onshore,"https://www.gem.wiki/Derby_(Bone_Spring)_-_Cimarex_Energy_Co._Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,40.47,Onshore hydraulic fracturing (primary technology),True,6.0,20.0,0.4978964285146694,24.0
1288,1288,6717,Eagleville (Eagle Ford-1) - Arrow S Energy Operating,oil,asset,United States,28.75205322,-98.39271386,Onshore,"https://www.gem.wiki/Eagleville_(Eagle_Ford-1)_-_Arrow_S_Energy_Operating_Oil_Asset_(Texas,_United_States)",2016-01,2026-02,4.05,Onshore horizontal drilling (shale / tight oil),True,8.0,9.0,1.7259535790384932,9.0
1290,1290,6719,Eagleville (Eagle Ford-1) - Burlington Resources O & G Co,oil and gas,asset,United States,28.95772262,-97.83119701,Onshore,"https://www.gem.wiki/Eagleville_(Eagle_Ford-1)_-_Burlington_Resources_O_&_G_Co_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,11.0,45.0,0.5201507476256431,45.0
