,ID,Plant name,Fuel type,Unit type,Country/Area,Latitude,Longitude,Onshore/Offshore,Wiki URL,Start_production,End_production,Plant_extension,Machinery_type,flaring_in_active_period,flare_years_count_active,flare_points_within_radius_active,nearest_flare_km,flare_points_within_radius_anyyear
244,1221,Matachín Norte,oil and gas,field,Colombia,3.846,-74.876,Onshore,"https://www.gem.wiki/Matachín_Norte_Oil_and_Gas_Field_(Tolima,_Colombia)",2016-01,2026-02,10.5,Onshore conventional vertical drilling,True,10.0,15.0,1.6171017461904742,15.0
245,1222,Matachín Sur (Prado),oil and gas,field,Colombia,3.846,-74.876,Onshore,"https://www.gem.wiki/Matachín_Sur_(Prado)_Oil_and_Gas_Field_(Tolima,_Colombia)",2016-01,2026-02,1.2,Onshore conventional vertical drilling,True,10.0,15.0,1.6171017461904742,15.0
246,1226,Moqueta,oil and gas,field,Colombia,1.042,-76.577,Onshore,"https://www.gem.wiki/Moqueta_Oil_and_Gas_Field_(Putumayo,_Colombia)",2016-01,2026-02,10.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,8.0,8.0,2.1384146488483142,8.0
247,1231,Nelson,oil and gas,field,Colombia,8.549,-75.351,Onshore,"https://www.gem.wiki/Nelson_Oil_and_Gas_Field_(Cordoba,_Colombia)",2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,4.0,8.0,0.4959188291891217,16.0
248,1231,Nelson,oil and gas,field,Colombia,8.549,-75.351,Onshore,"https://www.gem.wiki/Nelson_Oil_and_Gas_Field_(Cordoba,_Colombia)",2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,1.0,1.0,2.7145934241289758,1.0
249,1234,Ocelote,oil and gas,field,Colombia,4.279,-71.604,Onshore,"https://www.gem.wiki/Ocelote_Oil_and_Gas_Field_(Meta,_Colombia)",2016-01,2026-02,100.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,12.0,12.0,1.7109912232888027,12.0
250,1246,Pauto Sur (Equión),oil and gas,field,Colombia,5.442,-72.442,Onshore,"https://www.gem.wiki/Pauto_Sur_(Equión)_Oil_and_Gas_Field_(Casanare,_Colombia)",2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,13.0,19.0,1.2721855682629795,19.0
251,1257,Peñas Blancas,oil and gas,field,Colombia,7.167,-73.84,Onshore,"https://www.gem.wiki/Peñas_Blancas_Oil_and_Gas_Field_(Antioquia,_Colombia)",2016-01,2026-02,10.0,Onshore conventional vertical drilling,True,3.0,3.0,0.2014959087529334,3.0
252,1265,Provincia,oil and gas,field,Colombia,7.339,-73.44,Onshore,"https://www.gem.wiki/Provincia_Oil_and_Gas_Field_(Santander,_Colombia)",2016-01,2026-02,100.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,12.0,12.0,1.7066580208122215,12.0
253,1266,Purificación,oil and gas,field,Colombia,3.846,-74.876,Onshore,"https://www.gem.wiki/Purificación_Oil_and_Gas_Field_(Tolima,_Colombia)",2016-01,2026-02,10.0,Onshore conventional vertical drilling,True,10.0,15.0,1.6171017461904742,15.0
254,1272,Rancho Hermoso (Orocue),oil and gas,field,Colombia,5.025,-71.981,Onshore,"https://www.gem.wiki/Rancho_Hermoso_(Orocue)_Oil_and_Gas_Field_(Casanare,_Colombia)",2016-01,2026-02,1000.0,Onshore conventional vertical drilling,True,5.0,5.0,1.0925261892755689,5.0
255,1273,Redondo (Arauquita),oil and gas,field,Colombia,6.93,-71.18,Onshore,"https://www.gem.wiki/Redondo_(Arauquita)_Oil_and_Gas_Field_(Arauca,_Colombia)",2016-01,2026-02,10.0,Onshore conventional vertical drilling,True,13.0,13.0,1.9186188921536265,13.0
256,1274,Redondo (Arauca),oil and gas,field,Colombia,6.93,-71.18,Onshore,"https://www.gem.wiki/Redondo_(Arauca)_Oil_and_Gas_Field_(Arauca,_Colombia)",2016-01,2026-02,,,True,13.0,13.0,1.9186188921536265,13.0
257,1279,Rio Zulia,oil and gas,field,Colombia,8.204,-72.453,Onshore,"https://www.gem.wiki/Rio_Zulia_Oil_and_Gas_Field_(Norte_de_Santander,_Colombia)",2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,1.0,1.0,1.7488039118420393,1.0
258,1281,Rumba,oil and gas,field,Colombia,4.878,-72.413,Onshore,"https://www.gem.wiki/Rumba_Oil_and_Gas_Field_(Casanare,_Colombia)",2016-01,2026-02,4.0,Onshore horizontal drilling (shale / tight oil),True,7.0,7.0,1.3070309946548884,7.0
259,1286,San Roque,oil and gas,field,Colombia,8.015,-73.595,Onshore,"https://www.gem.wiki/San_Roque_Oil_and_Gas_Field_(Cesar,_Colombia)",2016-01,2026-02,,Onshore conventional vertical drilling,True,8.0,8.0,2.051065931122922,8.0
260,1289,Suria,oil and gas,field,Colombia,4.052,-73.438,Onshore,"https://www.gem.wiki/Suria_Oil_and_Gas_Field_(Meta,_Colombia)",2016-01,2026-02,100.0,Onshore pump-assisted production (pumpjack / ESP / PCP),True,12.0,12.0,1.2955268734677348,12.0
